Window,Start_Idx,Horizon_Start,Horizon_End,Model,MAE,RMSE,WAPE,CRPS,Coverage_80,Interval_Width,Latency_ms
1,294385,2014-08-08 15:50,2014-08-09 07:40,TimesFM-3 (Zero-Shot),2.8944008350372314,3.1391189098358154,0.13870030641555786,2.3482768535614014,0.22916666666666666,3.779608964920044,204.74349999858532
1,294385,2014-08-08 15:50,2014-08-09 07:40,AutoARIMA,1.8738484382629395,2.021282196044922,0.08979520946741104,1.3773912191390991,0.4583333333333333,3.468661069869995,1348.6975409978186
1,294385,2014-08-08 15:50,2014-08-09 07:40,LightGBM,5.165648937225342,5.995357513427734,0.2475389838218689,4.6002278327941895,0.07291666666666667,1.8007580041885376,2383.75499999529
1,294385,2014-08-08 15:50,2014-08-09 07:40,DeepAR (Deep Learning),3.7141876220703125,4.360939979553223,0.17798465490341187,3.6207876205444336,0.020833333333333332,0.596911609172821,4621.560250001494
2,305034,2014-10-22 06:30,2014-10-22 22:20,TimesFM-3 (Zero-Shot),1.4254518747329712,1.6437746286392212,0.19952376186847687,1.0521827936172485,0.9895833333333334,6.614050388336182,202.56683300249279
2,305034,2014-10-22 06:30,2014-10-22 22:20,AutoARIMA,1.6169558763504028,2.0921287536621094,0.2263290286064148,1.2654056549072266,0.75,5.445267200469971,1620.0850829991396
2,305034,2014-10-22 06:30,2014-10-22 22:20,LightGBM,1.0877090692520142,1.240837574005127,0.15224912762641907,0.8451613783836365,0.4166666666666667,1.7358293533325195,2641.1547909956425
2,305034,2014-10-22 06:30,2014-10-22 22:20,DeepAR (Deep Learning),1.0379304885864258,1.1800917387008667,0.14528150856494904,0.9939661026000977,0.07291666666666667,0.29737648367881775,4143.669083001441
3,315684,2015-01-04 05:30,2015-01-04 21:20,TimesFM-3 (Zero-Shot),0.49681878089904785,0.6624948978424072,0.17951898276805878,0.41224682331085205,0.9270833333333334,2.444887399673462,201.07141599874012
3,315684,2015-01-04 05:30,2015-01-04 21:20,AutoARIMA,0.4088487923145294,0.5322129130363464,0.1477321833372116,0.3479726016521454,0.96875,2.3928987979888916,1877.3221660012496
3,315684,2015-01-04 05:30,2015-01-04 21:20,LightGBM,0.3720111846923828,0.495433509349823,0.13442139327526093,0.3267729580402374,0.2916666666666667,0.26170283555984497,2279.0664580024895
3,315684,2015-01-04 05:30,2015-01-04 21:20,DeepAR (Deep Learning),0.5783552527427673,0.7541019320487976,0.20898112654685974,0.5556908845901489,0.125,0.16073398292064667,4130.098166002426
4,326333,2015-03-19 04:20,2015-03-19 20:10,TimesFM-3 (Zero-Shot),1.3863478899002075,1.641154408454895,0.18287287652492523,1.0101121664047241,0.9895833333333334,6.251636505126953,199.5835839989013
4,326333,2015-03-19 04:20,2015-03-19 20:10,AutoARIMA,1.1764394044876099,1.3682931661605835,0.15518389642238617,0.9291519522666931,0.9895833333333334,6.061363220214844,1645.241124999302
4,326333,2015-03-19 04:20,2015-03-19 20:10,LightGBM,5.499851226806641,6.743467330932617,0.725484311580658,5.04472017288208,0.10416666666666667,2.486953020095825,2199.0335419977782
4,326333,2015-03-19 04:20,2015-03-19 20:10,DeepAR (Deep Learning),6.0320000648498535,7.2288031578063965,0.7956799864768982,5.930150508880615,0.09375,0.6802523732185364,4143.069541998557
5,336983,2015-06-01 03:20,2015-06-01 19:10,TimesFM-3 (Zero-Shot),4.822368144989014,5.9872636795043945,0.35889896750450134,3.758561372756958,0.5,9.099751472473145,198.95208399975672
5,336983,2015-06-01 03:20,2015-06-01 19:10,AutoARIMA,9.21699047088623,11.041463851928711,0.6859634518623352,8.298465728759766,0.2604166666666667,6.3678154945373535,1580.8281659992645
5,336983,2015-06-01 03:20,2015-06-01 19:10,LightGBM,3.927151679992676,4.651815891265869,0.29227355122566223,3.5717456340789795,0.09375,2.1052300930023193,2295.749249999062
5,336983,2015-06-01 03:20,2015-06-01 19:10,DeepAR (Deep Learning),4.617974281311035,5.70612096786499,0.3436872065067291,4.572029113769531,0.14583333333333334,0.3419725000858307,4161.546333001752
6,347633,2015-08-14 02:20,2015-08-14 18:10,TimesFM-3 (Zero-Shot),2.1910336017608643,3.9852261543273926,0.08181414008140564,1.8706823587417603,0.7604166666666666,4.046750545501709,199.5213749978575
6,347633,2015-08-14 02:20,2015-08-14 18:10,AutoARIMA,2.094520330429077,3.431305408477783,0.07821028679609299,1.744763731956482,0.6666666666666666,4.56261682510376,2140.3914589973283
6,347633,2015-08-14 02:20,2015-08-14 18:10,LightGBM,4.031507968902588,5.016621112823486,0.15053823590278625,3.725940704345703,0.07291666666666667,1.1061629056930542,2211.2854580045678
6,347633,2015-08-14 02:20,2015-08-14 18:10,DeepAR (Deep Learning),3.4437389373779297,4.421951770782471,0.1285906881093979,3.243664026260376,0.3958333333333333,2.2869670391082764,4185.420333000366
7,358282,2015-10-27 01:10,2015-10-27 17:00,TimesFM-3 (Zero-Shot),2.8274524211883545,3.8238041400909424,0.3692496716976166,2.165005683898926,0.6354166666666666,5.333011627197266,201.74237500032177
7,358282,2015-10-27 01:10,2015-10-27 17:00,AutoARIMA,8.88552474975586,9.89752197265625,1.1604005098342896,8.010784149169922,0.041666666666666664,5.6495537757873535,1255.5417499970645
7,358282,2015-10-27 01:10,2015-10-27 17:00,LightGBM,4.143502712249756,4.675442695617676,0.5411186218261719,4.009050369262695,0.020833333333333332,0.6803959012031555,1695.416791997559
7,358282,2015-10-27 01:10,2015-10-27 17:00,DeepAR (Deep Learning),4.226057529449463,4.971453666687012,0.551899790763855,4.185292720794678,0.010416666666666666,0.2587679922580719,4022.2093330012285
8,368932,2016-01-09 00:10,2016-01-09 16:00,TimesFM-3 (Zero-Shot),1.9481840133666992,2.0598013401031494,0.7931201457977295,1.370229721069336,0.8125,5.880699157714844,207.66179200290935
8,368932,2016-01-09 00:10,2016-01-09 16:00,AutoARIMA,1.722758412361145,1.8170325756072998,0.7013477683067322,1.232040286064148,0.8020833333333334,5.414733409881592,3564.124875003472
8,368932,2016-01-09 00:10,2016-01-09 16:00,LightGBM,2.115779161453247,2.321441173553467,0.86134934425354,1.872904658317566,0.09375,2.027125358581543,1699.7124580011587
