date,store_sales_usd,foot_traffic_count,promotion_active,discount_percentage
2023-01-01,725.06,283,0,0.0
2023-01-02,1120.07,489,0,0.0
2023-01-03,1891.4,849,1,29.4
2023-01-04,1286.89,605,0,0.0
2023-01-05,1672.02,802,1,25.0
2023-01-06,841.21,368,0,0.0
2023-01-07,692.05,387,0,0.0
2023-01-08,831.39,367,0,0.0
2023-01-09,1088.97,523,0,0.0
2023-01-10,1304.63,664,0,0.0
2023-01-11,1379.58,626,0,0.0
2023-01-12,1744.59,730,1,20.5
2023-01-13,999.99,454,0,0.0
2023-01-14,1524.87,662,1,19.0
2023-01-15,875.5,383,0,0.0
2023-01-16,1716.63,852,1,15.6
2023-01-17,1380.51,572,0,0.0
2023-01-18,1529.32,700,0,0.0
2023-01-19,1214.01,511,0,0.0
2023-01-20,1749.32,775,1,11.8
2023-01-21,912.6,440,0,0.0
2023-01-22,947.04,439,0,0.0
2023-01-23,1284.22,569,0,0.0
2023-01-24,1334.98,575,0,0.0
2023-01-25,2137.01,974,1,16.3
2023-01-26,1375.09,687,0,0.0
2023-01-27,1013.18,420,0,0.0
2023-01-28,970.18,513,0,0.0
2023-01-29,1621.49,778,1,12.1
2023-01-30,1826.59,877,1,24.0
2023-01-31,1551.92,711,0,0.0
2023-02-01,1502.48,723,0,0.0
2023-02-02,1414.86,596,0,0.0
2023-02-03,1129.64,482,0,0.0
2023-02-04,935.89,452,0,0.0
2023-02-05,1090.36,502,0,0.0
2023-02-06,1275.13,568,0,0.0
2023-02-07,1415.46,537,0,0.0
2023-02-08,1454.07,637,0,0.0
2023-02-09,1505.82,631,0,0.0
2023-02-10,1091.49,511,0,0.0
2023-02-11,1055.88,467,0,0.0
2023-02-12,1102.47,471,0,0.0
2023-02-13,1309.69,695,0,0.0
2023-02-14,2336.71,1093,1,28.9
2023-02-15,1658.86,789,0,0.0
2023-02-16,1548.92,785,0,0.0
2023-02-17,1257.13,598,0,0.0
2023-02-18,1059.63,446,0,0.0
2023-02-19,1140.59,478,0,0.0
2023-02-20,1499.3,713,0,0.0
2023-02-21,1710.06,687,0,0.0
2023-02-22,1842.86,826,0,0.0
2023-02-23,2147.79,880,1,21.4
2023-02-24,1205.14,546,0,0.0
2023-02-25,1083.22,522,0,0.0
2023-02-26,1086.75,500,0,0.0
2023-02-27,1482.96,705,0,0.0
2023-02-28,1614.46,805,0,0.0
2023-03-01,1479.91,660,0,0.0
